Article Title,Reprint Addresses,Funding Orgs,"Times Cited, WoS Core","Times Cited, All Databases",Publication Date,Publication Year,DOI,
Angular Distribution of Production Planes in J/psi -> Lambda(Lambda)over-bar Decay,"Tong, XY (corresponding author), Peking Univ, Sch Phys, Beijing 100871, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11661141008],0,0,JUN,2019,10.1088/0256-307X/36/6/062301,
Study on the Fracture Properties of the PMMA Structure for the JUNO Central Detector,"Wang, YQ (corresponding author), Tsinghua Univ, Dept Civil Engn, Beijing 100084, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51878377, 51878586, 51508424]; China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2018M630164]",3,4,JUN,2019,10.1007/s12205-019-5562-1,
Probing Trans-Electroweak First Order Phase Transitions from Gravitational Waves,"Addazi, A (corresponding author), Fudan Univ, Dept Phys, Shanghai 200433, Peoples R China.; Addazi, A (corresponding author), Fudan Univ, Ctr Field Theory & Particle Phys, Shanghai 200433, Peoples R China.","NSFCNational Natural Science Foundation of China (NSFC) [11875113]; Shanghai Municipality [KBH1512299]; Fudan University [JJH1512105]; Swedish Research CouncilSwedish Research CouncilEuropean Commission [621-2013-428, 2016-05996]; CONICYT Grant (Chile) [MEC80170112]; Ministry of Education, Youth and Sports of the Czech RepublicMinistry of Education, Youth & Sports - Czech Republic [LT 17018]",6,6,JUN,2019,10.3390/physics1010010,
Development of dipole magnet power supply for BEPC-II energy upgrading project,"Guo, XL (corresponding author), Univ Chinese Acad Sci, Beijing 100049, Peoples R China.; Guo, XL (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.; Guo, XL (corresponding author), Dongguan Neutron Sci Ctr, Dongguan 523803, Peoples R China.",Institute of High Energy PhysicsChinese Academy of Sciences,3,3,JUN,2019,10.1007/s41605-018-0089-4,
"Mechanical Design, Assembly, and Test of LPF1: A 10.2 T Nb3Sn Common-Coil Dipole Magnet With Graded Coil Configuration","Xu, QJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","Hundred Talents Program funding of the Chinese Academy of Sciences (CAS); Key Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDPB01]; CAS Center for Excellence in Particle Physics; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675193, 11575214, 11604335, U1632276]",3,3,JUN,2019,10.1109/TASC.2018.2880172,
Amplitude analysis and branching fraction measurement of D-0 -> K-pi(+)pi(0)pi(0),"Ke, BC (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Ke, BC (corresponding author), Carnegie Mellon Univ, Pittsburgh, PA 15213 USA.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11835012, 11475185, 11625523, 11635010, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263, U1832207]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832207]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Institute of Nuclear and Particle Physics; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Knut and Alice Wallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; Shanghai Key Laboratory for Particle Physics and Cosmology",1,1,MAY 31,2019,10.1103/PhysRevD.99.092008,
Observation of Three-Dimensional Photonic Dirac Points and Spin-Polarized Surface Arcs,"Zhang, S (corresponding author), Univ Birmingham, Sch Phys & Astron, Birmingham B15 2TT, W Midlands, England.; Chan, CT (corresponding author), Hong Kong Univ Sci & Technol, Dept Phys, Hong Kong, Peoples R China.; Chan, CT (corresponding author), Hong Kong Univ Sci & Technol, Ctr Metamat Res, Hong Kong, Peoples R China.; Chen, J (corresponding author), Nankai Univ, Sch Phys, Tianjin 300071, Peoples R China.","European Research Council Consolidator Grant (Topological); Horizon 2020 Action Project [734578]; Leverhulme TrustLeverhulme Trust [RPG-2012-674]; Research Grants Council Hong KongHong Kong Research Grants Council [16304717, AoE/P-02/12]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11574162, 11874228, 11604216]; Royal SocietyRoyal Society of LondonEuropean Commission; Wolfson Foundation",36,37,MAY 24,2019,10.1103/PhysRevLett.122.203903,
Study of dark matter in the extended BLMSSM,"Feng, JJ; Zhao, SM; Feng, TF (corresponding author), Hebei Univ, Dept Phys & Technol, Baoding 071002, Peoples R China.","National Natural Science Foundation of China (NNSFC)National Natural Science Foundation of China (NSFC) [11535002, 11605037, 11705045]; Natural Science Foundation of Hebei provinceNatural Science Foundation of Hebei Province [A2016201010, A2016201069]; Post-graduate's Innovation Fund Project of Hebei Province [CXZZBS2019027]; Hebei Key Lab of OpticElectronic Information and Materials; midwest universities comprehensive strength promotion project; youth top-notch talent support program of the Hebei Province",0,0,MAY 24,2019,10.1103/PhysRevD.99.095033,
Observation of the Decay X(3872) -> pi(0)chi(c1) (1P),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11335008, 11425524, 11625523, 11635010, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Joint Large-Scale Scientific Facility Fund of the NSFC [U1532257, U1532258, U1732263]; Joint Large-Scale Scientific Facility Fund of CAS [U1532257, U1532258, U1732263]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC 1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology Fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; Knut and Alice Wallenberg FoundationKnut & Alice Wallenberg Foundation; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",18,18,MAY 23,2019,10.1103/PhysRevLett.122.202001,
Light absorption properties of the high quality linear alkylbenzene for the JUNO experiment,"Qi, M (corresponding author), Nanjing Univ, Natl Lab Solid State Microstruct, Nanjing 210093, Jiangsu, Peoples R China.; Qi, M (corresponding author), Nanjing Univ, Sch Phys, Nanjing 210093, Jiangsu, Peoples R China.",National 973 Project Foundation of the Ministry of Science and Technology of ChinaNational Basic Research Program of China [2013CB834300]; Strategic Pilot Science and Technology Project of the CAS [XDA10010000]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11620101004],2,2,MAY 21,2019,10.1016/j.nima.2019.01.077,
Time of flight technology based on multi-gap resistive plate chamber,"Wang, Y (corresponding author), Tsinghua Univ, Dept Engn Phys, Key Lab Particle & Radiat Imaging, Minist Educ, Beijing 100084, Peoples R China.","Program of Ministry of Science and Technology of China [2015CB856905, 2008CB8177072, YFA0400100]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11420101004, 11461141011, 11275108, 11735009]",0,0,MAY 20,2019,10.7498/aps.68.20182192,
Accelerator physics design in the interaction region for CEPC double ring scheme,"Bai, S (corresponding author), Chinese Acad Sci, Inst High Energy Phys, 19B Yuquan Rd, Beijing 100049, Peoples R China.",National Key Programme for S&T Research and Development [2016YFA0400400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11605210],3,3,MAY 20,2019,10.1142/S0217751X19400025,
New physics implication of Higgs precision measurements,"Su, W (corresponding author), Chinese Acad Sci, Inst Theoret Phys, CAS Key Lab Theoret Phys, Beijing 100190, Peoples R China.; Su, W (corresponding author), Univ Adelaide, Arc Ctr Excellence Particle Phys Terascale, Dept Phys, Adelaide, SA 5005, Australia.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11575176, 11635009, 11675242]; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-95ER40896, DE-FG02-13ER41976/DE-SC0009913/DE-AC02-07CH11359]; Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada (NSERC)",5,5,MAY 20,2019,10.1142/S0217751X19400128,
Conceptual design study of iron-based superconducting dipole magnets for SPPC,"Xu, QJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.; Xu, QJ (corresponding author), Univ Chinese Acad Sci, Beijing, Peoples R China.","Hundred Talents Program Funding of Chinese Academy of Sciences; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB25000000]; Key Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDPB01]; CAS Center for Excellence in Particle Physics; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675193, 11575214, 11604335]; National Key Research and Development Programme of China [2016YFA0402001]",3,3,MAY 20,2019,10.1142/S0217751X19400037,
Electroweak physics at CEPC,"Liang, ZJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.",,2,2,MAY 20,2019,10.1142/S0217751X1940013X,
CEPC Linac design,"Meng, C (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Particle Accelerat Phys & Technol, 19B Yuquan Rd, Beijing 100049, Peoples R China.","National Key Programme for S&T Research and Development [2016YFA0400400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11705214, 11505198]; Youth Innovation Promotion Association CAS",5,5,MAY 20,2019,10.1142/S0217751X19400050,
Design and study of the TPC detector module and prototype for CEPC,"Qi, HR (corresponding author), Chinese Acad Sci, Inst High Energy Phys, State Key Lab Particle Detect & Elect, 19B Yuquan Rd, Beijing 10049, Peoples R China.",National Key Program for S&T Research and Development [2016YFA0400400]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11775242],1,2,MAY 20,2019,10.1142/S0217751X19400165,
A beam optics design of the interaction region for the CEPC single-ring scheme,"Wang, YW (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Particle Accelerat Phys & Technol, 19B Yuquan Rd, Beijing 100049, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11605211, 11575218]; Key Research Program of Frontier Sciences, CAS [QYZDJ-SSW-SLH004]",2,2,MAY 20,2019,10.1142/S0217751X19400074,
The energy sawtooth effects in the partial double ring scheme of CEPC,"Wang, YW (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Particle Accelerat Phys & Technol, 19B Yuquan Rd, Beijing 100049, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11605211, 11575218]; Key Research Program of Frontier Sciences, CAS [QYZDJ-SSW-SLH004]",1,1,MAY 20,2019,10.1142/S0217751X19400086,
Design of CEPC superconducting RF system,"Zhai, JY (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Particle Accelerat Phys & Technol, 19B Yuquan Rd, Beijing 100049, Peoples R China.",National Key Programme for S&T Research and Development of China [2016YFA0400400],7,7,MAY 20,2019,10.1142/S0217751X19400062,
Lambda(b) decays into Lambda cl(nu)over-barl and Lambda c*pi(-) [ Lambda(c)* = Lambda(c)( 2595) and Lambda(c)(2625)] and heavy quark spin symmetry,"Sakai, S (corresponding author), Chinese Acad Sci, Inst Theoret Phys, Zhong Guan Cun East St 55, Beijing 100190, Peoples R China.","SpanishMinisterio de Ciencia, Innovacion y Universidades; European FEDER fundsEuropean Commission [FIS2017-84038-C2-1-P, SEV-2014-0398]; NSFCNational Natural Science Foundation of China (NSFC) [CRC110, 11621131001, 11747601, 11835015]; DFGGerman Research Foundation (DFG)European Commission [CRC110]; CAS Key Research Program of Frontier Sciences [QYZDB-SSW-SYS013]; CASKey Research Program [XDPB09]; CASPresident's International Fellowship Initiative (PIFI) [2019PM0108]",3,3,MAY 17,2019,10.1140/epjc/s10052-019-6929-7,
Cross section measurements of e(+) e(-) -> omega chi(c0) from root s=4.178 to 4.278 GeV,"Zhang, JL (corresponding author), Xinyang Normal Univ, Xinyang 464000, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11625523, 11635010, 11735014, 11835012, 11847028, 11575198]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC); CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832207]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; Foundation of Henan Educational Committee [19A140015]; Nanhu Scholars Program for Young Scholars of Xinyang Normal University; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt, Germany; INPAC",20,20,MAY 16,2019,10.1103/PhysRevD.99.091103,
Exploring bosonic mediator of interaction at BESIII,"Jiang, J (corresponding author), Shandong Univ, Sch Phys, Jinan 250100, Shandong, Peoples R China.","Ministry of Science and Technology of the Peoples' Republic of ChinaMinistry of Science and Technology, China [2015CB856703]; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB23030100]; National Natural Science Foundation of China(NSFC)National Natural Science Foundation of China (NSFC) [11375200, 11635009]; Fundamental Research Funds of Shandong University [2019GN038]",5,5,MAY 14,2019,10.1140/epjc/s10052-019-6912-3,
Observation of the W-annihilation decay D-s(+) -> omega pi(+) and evidence for D-s(+) -> omega K+,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11425524, 11625523, 11635010]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); NSFCNational Natural Science Foundation of China (NSFC) [U1332201, U1532257, U1532258]; CASChinese Academy of Sciences [U1332201, U1532257, U1532258]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0010504, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]; INPAC",6,6,MAY 13,2019,10.1103/PhysRevD.99.091101,
Study on the inclusive hadroproduction of Upsilon plus gamma at next-to-leading order,"Li, R (corresponding author), Xi An Jiao Tong Univ, Sch Sci, Xian 710049, Shaanxi, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11105152, 11375137, U1832160]; Natural Science Foundation of Shaanxi ProvinceNatural Science Foundation of Shaanxi Province [2015JQ1003]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities; Key Research Program of Frontier Sciences, CAS",2,2,MAY 13,2019,10.1103/PhysRevD.99.096010,
Study of the process e(+) e(-) -> p(p)over-bar via initial state radiation at BESIII,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11335008, 11425524, 11625523, 11635010, 11735014]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Joint Large-Scale Scientific Facility Funds of the NSFC; CASChinese Academy of Sciences [U1532257, U1532258, U1732263]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Swedish Research CouncilSwedish Research CouncilEuropean Commission; Knut and Alice Wallenberg FoundationKnut & Alice Wallenberg Foundation; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0010504, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",18,18,MAY 10,2019,10.1103/PhysRevD.99.092002,
Two-body charmed baryon decays involving vector meson with SU(3) flavor symmetry,"Hsiao, YK (corresponding author), Shanxi Normal Univ, Sch Phys & Informat Engn, Linfen 041004, Peoples R China.; Yao, Y (corresponding author), Chongqing Univ Posts & Telecommun, Chongqing 400065, Peoples R China.",National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675030],16,16,MAY 10,2019,10.1016/j.physletb.2019.03.031,
Semileptonic decays of anti-triplet charmed baryons,"Geng, CQ (corresponding author), Chongqing Univ Posts & Telecommun, Chongqing 400065, Peoples R China.; Geng, CQ (corresponding author), Natl Tsing Hua Univ, Dept Phys, Hsinchu 300, Taiwan.; Geng, CQ (corresponding author), Natl Ctr Theoret Sci, Phys Div, Hsinchu 300, Taiwan.","MoST [MoST-104-2112-M-007-003-MY3, MoST-107-2119-M-007-013-MY3]; National Center for Theoretical Sciences",22,24,MAY 10,2019,10.1016/j.physletb.2019.03.056,
Search for the Sigma* state in Lambda(+)(c) -> pi(+)pi(0)pi(-)Sigma(+) decay by triangle singularity,"Xie, JJ (corresponding author), Chinese Acad Sci, Inst Modern Phys, Lanzhou 730000, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11475227, 11735003]; Youth Innovation Promotion Association CAS [2016367]; Spanish Ministerio de Economia y CompetitividadSpanish Government; European FEDER fundsEuropean Commission [FIS2011-28853-C02-01, FIS2011-28853-C02-02, FIS2014-57026-REDT, FIS2014-51948-C2-1-P, FIS2014-51948-C2-2-P]; Generalitat ValencianaGeneralitat ValencianaEuropean CommissionGeneral Electric [Prometeo II-2014/068]",6,6,MAY 10,2019,10.1016/j.physletb.2019.04.011,
Analytical solutions to renormalization-group equations of effective neutrino masses and mixing parameters in matter,"Wang, X (corresponding author), Inst High Energy Phys, Div Theoret Phys, 19B Yuquan Rd, Beijing 100049, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11775232, 11835013]; CAS Center for Excellence in Particle Physics",12,12,MAY 7,2019,10.1007/JHEP05(2019)035,
Monte Carlo Study of Lattice Compact Quantum Electrodynamics with Fermionic Matter: The Parent State of Quantum Phases,"Xu, XY (corresponding author), Hong Kong Univ Sci & Technol, Dept Phys, Clear Water Bay, Hong Kong, Peoples R China.","Hong Kong Research Grants Council (HKRGC)Hong Kong Research Grants Council [C6026-16W, 16324216, 16307117]; Ministry of Science and Technology of ChinaMinistry of Science and Technology, China [2015CB921700]; National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11874115, 11574359, 11674370]; National Key RD Program [2016YFA0300502]; Strategic Priority Research Program of CAS [XDB28000000]; DFGGerman Research Foundation (DFG)European Commission [FOR1807]; National Key RAMP;D Program of China [2018YFA0305802]; Key Research Program of Chinese Academy of SciencesChinese Academy of Sciences [XDPB08-4, XDB28040200]",34,34,MAY 2,2019,10.1103/PhysRevX.9.021022,
Growth of CdZnTe single crystals by seed travelling heater method,"Liu, JC (corresponding author), Shandong Univ Technol, Sch Mat Sci & Engn, Zibo 255049, Peoples R China.; Liu, JC (corresponding author), Tianjin Polytech Univ, Sch Mat Sci & Engn, Tianjin 300387, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [50972085]; Key R & D project of Shandong Province [2017GGX20104],1,1,MAY-JUN,2019,,
Characterization of the prototype CMOS pixel sensor JadePix-1 for the CEPC vertex detector<bold> </bold>,"Chen, L (corresponding author), Univ Chinese Acad Sci, 19A Yuquan Rd, Beijing, Peoples R China.; Chen, L (corresponding author), Chinese Acad Sci, Inst High Energy Phys, 19B Yuquan Rd, Beijing, Peoples R China.; Chen, L (corresponding author), State Key Lab Particle Detect & Elect, 19B Yuquan Rd, Beijing, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11505207]; State Key Laboratory of Particle Detection and Electronics; CAS Center for Excellence in Particle Physics (CCEPP); IHEP Innovation Fund; Yifang Wang's science studio,3,3,MAY,2019,10.1088/1748-0221/14/05/C05023,
Expansion and maintenance of primary corneal epithelial stem/progenitor cells by inhibition of TGF beta receptor I-mediated signaling,"Li, XY (corresponding author), Huazhong Univ Sci & Technol, Tongji Med Coll, Tongji Hosp, Dept Ophthalmol, Wuhan, Hubei, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [81570819],9,9,MAY,2019,10.1016/j.exer.2019.03.014,
A 4 x 14-Gbps/ch VCSEL array driving ASIC in 65 nm CMOS for high-energy physics experiments,"Guo, D (corresponding author), Cent China Normal Univ, Dept Phys, Wuhan 430079, Hubei, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11875145],1,1,MAY,2019,10.1088/1748-0221/14/05/C05016,
NEMA NU-4 performance evaluation of a non-human primate animal PET,"Wei, L (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing Engn Res Ctr Radiog Tech & Equipment, Beijing 100049, Peoples R China.","National Natural Science Foundation of China ProjectNational Natural Science Foundation of China (NSFC) [11675191, 11475206, 81101070]",7,7,MAY,2019,10.1088/1361-6560/ab1614,
Detecting dark photon dark matter with Gaia-like astrometry observations,"Guo, HK (corresponding author), Chinese Acad Sci, Insitute Theoret Phys, CAS Key Lab Theoret Phys, Beijing 100190, Peoples R China.; Guo, HK (corresponding author), Univ Oklahoma, Dept Phys & Astron, Norman, OK 73019 USA.","National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11847612, 11690022, 11851302, 11675243, 11761141011]; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB21010200, XDB23000000]; National Key Research and Development Program of China [2016YFA0400204]; NSFCNational Natural Science Foundation of China (NSFC) [11722328, 11851305]; 100 Talents program of Chinese Academy of SciencesChinese Academy of Sciences",4,4,MAY,2019,10.1088/1475-7516/2019/05/015,
Slow liquid scintillator candidates for MeV-scale neutrino experiments,"Guo, ZY; Wang, Z (corresponding author), Tsinghua Univ, Dept Engn Phys, Beijing 100084, Peoples R China.; Guo, ZY; Wang, Z (corresponding author), Tsinghua Univ, Minist Educ, Key Lab Particle & Radiat Imaging, Beijing, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11620101004, 11475093]; Key Laboratory of Particle & Radiation Imaging (Tsinghua University); CAS Center for Excellence in Particle Physics (CCEPP); United States Department of EnergyUnited States Department of Energy (DOE) [DE-AC02-98CH10886]",12,12,MAY,2019,10.1016/j.astropartphys.2019.02.001,
First observations of h(c )-> hadrons,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11625523, 11635010, 11735014, 11565006, 11835012]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [U1532257, U1532258, U1732263, U1832207]; CASChinese Academy of Sciences [U1532257, U1532258, U1732263, U1832207]; CAS Key Research Program of Frontier Sciences [QYZDJ-SSW-SLH003, QYZDJ-SSW-SLH040]; 100 Talents Program of CASChinese Academy of Sciences; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; National Science and Technology fund; Knut and AliceWallenberg Foundation (Sweden)Knut & Alice Wallenberg Foundation [2016.0157]; Royal Society, UKRoyal Society of London [DH160214]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U. S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010118, DE-SC-0012069]; University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; INPAC",3,3,APR 24,2019,10.1103/PhysRevD.99.072008,
